"State Patients Saved Dead Active","","","",""
"State","Patients","Saved","Dead","Active"
"Maharashtra","1919550","1809948","49255","59214"
"Karnataka","916256","891095","12062","13080"
"Andhra Pradesh","881061","870342","7094","3625"
"Tamil Nadu","814170","793154","12069","8947"
"Kerala","740517","672196","2977","65165"
"Delhi","622851","605685","10453","6713"
"Uttar Pradesh","581980","558303","8306","15371"
"West Bengal","547443","524071","9598","13774"
"Odisha","328504","324068","1914","2522"
"Rajasthan","305360","291533","2670","11157"
"Telangana","284863","276753","1531","6579"
"Chhattisgarh","274324","257021","3275","14028"
"Haryana","260907","253765","2874","4268"
"Bihar","250995","244688","1383","4923"
"Gujarat","241845","227228","4282","10335"
"Madhya Pradesh","238352","224692","3563","10097"
"Assam","215939","211543","1037","3356"
"Punjab","165405","155892","5299","4214"
"Jammu and Kashmir","120137","114986","1869","3282"
"Jharkhand","114143","111530","1018","1595"
"Uttarakhand","89218","81154","1476","5444"
"Himachal Pradesh","54280","49040","901","4292"
"Goa","50667","48992","731","944"
"Puducherry","37947","36962","630","355"
"Tripura","33234","32672","382","157"
"Manipur","28029","26404","348","1277"
"Chandigarh","19486","18810","315","361"
"Arunachal Pradesh","16687","16477","56","154"
"Meghalaya","13371","12985","138","248"
"Nagaland","11897","11438","78","251"
"Ladakh","9394","9050","126","218"
"Sikkim","5799","5063","125","517"
"Andaman and Nicobar Islands","4912","4789","62","61"
"Mizoram","4182","4049","8","125"
"Dadra and Nagar Haveli and Daman and Diu","3360","3318","2","11"
"State Unassigned","0","0","0","0"
"Lakshadweep","","","",""
